OA,UV4030001,UV4030002,UV4030003,UV4030004,UV4030005,UV4030006,UV4030007,UV4030008,UV4030009,UV4030010,UV4030011
S00143224,146,140.0,61.0,75.0,0.0,2.0,0.0,8.0,8.0,0.0,0.0
S00143225,102,54.0,19.0,28.0,0.0,7.0,29.0,19.0,19.0,0.0,0.0
S00143226,106,74.0,31.0,41.0,0.0,0.0,4.0,24.0,24.0,0.0,2.0
S00143227,67,7.0,7.0,0.0,0.0,0.0,37.0,25.0,25.0,0.0,1.0
S00143228,72,55.0,33.0,19.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0
S00143229,96,12.0,9.0,2.0,0.0,0.0,6.0,78.0,78.0,0.0,0.0
S00143230,99,8.0,0.0,8.0,0.0,0.0,67.0,23.0,21.0,0.0,2.0
S00143231,115,3.0,3.0,0.0,0.0,0.0,50.0,62.0,61.0,2.0,0.0
S00143232,113,91.0,36.0,54.0,0.0,1.0,9.0,12.0,12.0,0.0,2.0
S00143233,171,166.0,61.0,105.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
S00143234,84,25.0,20.0,7.0,0.0,0.0,6.0,48.0,48.0,0.0,5.0
S00143235,80,68.0,25.0,42.0,0.0,1.0,5.0,7.0,7.0,0.0,0.0
S00143236,100,15.0,8.0,6.0,1.0,0.0,22.0,63.0,63.0,0.0,1.0
S00143237,116,99.0,62.0,36.0,0.0,1.0,6.0,10.0,10.0,0.0,0.0
S00143238,100,98.0,64.0,31.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0
S00143239,152,133.0,59.0,77.0,0.0,0.0,0.0,19.0,19.0,0.0,0.0
S00143240,121,118.0,52.0,64.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0
S00143241,70,1.0,1.0,0.0,0.0,0.0,62.0,9.0,8.0,1.0,1.0
S00143242,172,95.0,41.0,52.0,1.0,0.0,0.0,77.0,77.0,0.0,2.0
S00143243,162,64.0,26.0,34.0,4.0,0.0,0.0,94.0,94.0,0.0,3.0
S00143244,98,40.0,4.0,30.0,0.0,6.0,20.0,37.0,37.0,0.0,0.0
S00143245,104,23.0,9.0,8.0,0.0,2.0,5.0,79.0,79.0,0.0,2.0
S00143246,84,51.0,17.0,34.0,0.0,0.0,3.0,22.0,22.0,0.0,5.0
S00143247,69,34.0,26.0,8.0,0.0,0.0,9.0,26.0,25.0,1.0,0.0
S00143248,122,27.0,15.0,9.0,1.0,1.0,45.0,46.0,44.0,2.0,5.0
S00143249,120,103.0,70.0,31.0,0.0,0.0,0.0,20.0,18.0,4.0,0.0
S00143250,87,18.0,8.0,7.0,0.0,0.0,46.0,20.0,20.0,0.0,1.0
S00143251,176,154.0,70.0,80.0,0.0,0.0,3.0,19.0,19.0,0.0,0.0
S00143252,90,9.0,4.0,5.0,0.0,0.0,0.0,81.0,81.0,0.0,0.0
S00143253,121,14.0,8.0,5.0,4.0,0.0,46.0,60.0,60.0,0.0,2.0
S00143254,223,219.0,87.0,132.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0
S00143255,109,14.0,10.0,4.0,2.0,0.0,23.0,67.0,67.0,0.0,0.0
S00143256,103,82.0,31.0,47.0,0.0,6.0,10.0,12.0,12.0,0.0,0.0
S00143257,156,158.0,93.0,67.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0
S00143258,124,31.0,15.0,16.0,0.0,0.0,6.0,87.0,83.0,4.0,0.0
S00143259,169,146.0,63.0,82.0,0.0,1.0,15.0,6.0,1.0,5.0,0.0
S00143260,136,125.0,66.0,57.0,0.0,0.0,0.0,11.0,9.0,0.0,2.0
S00143261,62,11.0,10.0,1.0,0.0,0.0,1.0,51.0,50.0,1.0,4.0
S00143262,95,34.0,7.0,11.0,0.0,12.0,48.0,16.0,16.0,0.0,4.0
S00143263,91,15.0,5.0,9.0,0.0,0.0,9.0,66.0,66.0,0.0,1.0
S00143264,95,10.0,1.0,7.0,1.0,0.0,10.0,75.0,75.0,0.0,0.0
S00143265,152,34.0,21.0,13.0,0.0,0.0,2.0,119.0,116.0,4.0,0.0
S00143266,98,87.0,53.0,37.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0
S00143267,186,33.0,21.0,14.0,0.0,0.0,0.0,146.0,146.0,0.0,6.0
S00143268,93,61.0,43.0,18.0,0.0,0.0,29.0,5.0,5.0,0.0,0.0
S00143269,93,20.0,16.0,4.0,0.0,0.0,32.0,40.0,40.0,0.0,2.0
S00143270,155,115.0,69.0,45.0,0.0,1.0,1.0,39.0,39.0,0.0,0.0
S00143271,126,126.0,53.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S00143272,70,44.0,24.0,13.0,0.0,4.0,1.0,24.0,24.0,0.0,1.0
S00143273,87,87.0,48.0,40.0,0.0,0.0,0.0,4.0,3.0,1.0,0.0
S00143274,70,14.0,6.0,8.0,0.0,0.0,4.0,51.0,48.0,3.0,1.0
S00143275,143,135.0,50.0,84.0,0.0,2.0,1.0,4.0,4.0,0.0,4.0
S00143276,83,6.0,2.0,3.0,0.0,0.0,46.0,31.0,31.0,0.0,0.0
S00143277,90,81.0,30.0,51.0,0.0,0.0,0.0,4.0,4.0,0.0,3.0
S00143278,112,17.0,11.0,7.0,2.0,0.0,0.0,89.0,89.0,0.0,2.0
S00143279,62,1.0,1.0,0.0,0.0,0.0,52.0,4.0,4.0,0.0,2.0
S00143280,63,6.0,1.0,5.0,0.0,0.0,41.0,16.0,16.0,0.0,0.0
S00143281,90,19.0,9.0,10.0,0.0,0.0,26.0,42.0,42.0,0.0,0.0
S00143282,109,62.0,19.0,43.0,0.0,0.0,7.0,43.0,43.0,0.0,0.0
S00143283,95,90.0,41.0,46.0,0.0,3.0,0.0,5.0,5.0,0.0,0.0
S00143284,83,11.0,8.0,3.0,0.0,0.0,2.0,71.0,71.0,0.0,0.0
S00143285,162,22.0,7.0,13.0,0.0,0.0,5.0,139.0,133.0,2.0,0.0
S00143286,103,96.0,52.0,40.0,0.0,0.0,3.0,1.0,1.0,0.0,2.0
S00143287,108,100.0,65.0,35.0,0.0,0.0,0.0,6.0,6.0,0.0,1.0
S00143288,107,99.0,49.0,48.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0
S00143289,173,173.0,68.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S00143290,77,25.0,6.0,19.0,0.0,0.0,15.0,37.0,35.0,1.0,0.0
S00143291,94,67.0,11.0,49.0,0.0,3.0,14.0,13.0,13.0,0.0,0.0
S00143292,76,6.0,0.0,6.0,0.0,0.0,0.0,68.0,68.0,0.0,0.0
