OA,UV6040001,UV6040002,UV6040003,UV6040004,UV6040005
S00135574,42.0,2.0,13.0,30.0,1.0
S00135575,74.0,4.0,10.0,50.0,10.0
S00135576,60.0,4.0,14.0,39.0,2.0
S00135577,90.0,2.0,16.0,66.0,10.0
S00135578,63.0,0.0,10.0,46.0,8.0
S00135579,44.0,0.0,11.0,33.0,3.0
S00135580,76.0,2.0,14.0,48.0,9.0
S00135581,58.0,5.0,7.0,31.0,7.0
S00135582,57.0,4.0,5.0,42.0,3.0
S00135583,74.0,4.0,10.0,48.0,10.0
S00135584,67.0,4.0,21.0,38.0,4.0
S00135585,66.0,7.0,8.0,42.0,9.0
S00135586,53.0,2.0,7.0,38.0,6.0
S00135587,51.0,2.0,2.0,37.0,11.0
S00135588,50.0,5.0,10.0,33.0,3.0
S00135589,46.0,3.0,6.0,30.0,6.0
S00135590,53.0,8.0,6.0,33.0,7.0
S00135591,50.0,3.0,12.0,32.0,5.0
S00135592,74.0,3.0,15.0,49.0,10.0
S00135593,49.0,8.0,13.0,26.0,0.0
S00135594,57.0,2.0,14.0,31.0,7.0
S00135595,61.0,5.0,14.0,38.0,3.0
S00135596,105.0,3.0,11.0,77.0,16.0
S00135597,55.0,4.0,11.0,33.0,7.0
S00135598,40.0,1.0,10.0,23.0,6.0
S00135599,89.0,8.0,11.0,60.0,10.0
S00135600,18.0,0.0,0.0,11.0,4.0
S00135601,80.0,8.0,12.0,53.0,7.0
S00135602,70.0,5.0,14.0,48.0,3.0
S00135603,37.0,2.0,9.0,25.0,2.0
S00135604,72.0,2.0,7.0,55.0,9.0
S00135605,51.0,4.0,4.0,39.0,9.0
S00135606,104.0,10.0,25.0,57.0,12.0
S00135607,436.0,209.0,134.0,84.0,8.0
S00135608,53.0,4.0,6.0,41.0,4.0
S00135609,46.0,0.0,6.0,37.0,5.0
S00135610,49.0,0.0,5.0,37.0,5.0
S00135611,36.0,1.0,13.0,19.0,3.0
S00135612,102.0,7.0,11.0,68.0,14.0
S00135613,72.0,3.0,12.0,50.0,7.0
S00135614,50.0,7.0,3.0,36.0,5.0
S00135615,112.0,4.0,15.0,80.0,13.0
S00135616,49.0,0.0,6.0,39.0,4.0
S00135617,59.0,7.0,18.0,30.0,7.0
S00135618,30.0,6.0,3.0,19.0,2.0
S00135619,26.0,2.0,4.0,19.0,4.0
S00135620,56.0,8.0,15.0,28.0,3.0
S00135621,50.0,4.0,10.0,29.0,6.0
S00135622,69.0,5.0,11.0,47.0,5.0
S00135623,77.0,7.0,9.0,55.0,6.0
S00135624,48.0,1.0,12.0,33.0,3.0
S00135625,68.0,14.0,15.0,38.0,7.0
S00135626,37.0,2.0,6.0,22.0,4.0
S00135627,72.0,4.0,19.0,45.0,7.0
S00135628,81.0,4.0,17.0,56.0,7.0
S00135629,104.0,4.0,10.0,80.0,10.0
S00135630,51.0,3.0,10.0,34.0,4.0
S00135631,78.0,4.0,19.0,41.0,14.0
S00135632,60.0,2.0,19.0,34.0,5.0
S00135633,26.0,2.0,6.0,12.0,4.0
S00135634,64.0,1.0,5.0,49.0,9.0
S00135635,74.0,1.0,15.0,51.0,5.0
S00135636,56.0,4.0,13.0,29.0,7.0
S00135637,60.0,3.0,9.0,42.0,6.0
S00135638,34.0,6.0,11.0,17.0,0.0
S00135639,54.0,1.0,9.0,41.0,5.0
S00135640,62.0,5.0,17.0,34.0,6.0
S00135641,32.0,4.0,5.0,16.0,4.0
S00135642,90.0,6.0,18.0,57.0,9.0
S00135643,41.0,1.0,16.0,20.0,4.0
S00135644,31.0,3.0,1.0,26.0,1.0
S00135645,33.0,6.0,3.0,20.0,4.0
S00135646,26.0,2.0,3.0,17.0,1.0
S00135647,74.0,5.0,16.0,43.0,10.0
S00135648,66.0,1.0,19.0,40.0,6.0
S00135649,42.0,0.0,8.0,24.0,12.0
S00135650,53.0,2.0,13.0,33.0,5.0
S00135651,67.0,1.0,16.0,45.0,3.0
S00135652,40.0,3.0,3.0,28.0,6.0
S00135653,40.0,5.0,4.0,25.0,6.0
S00135654,48.0,1.0,6.0,34.0,2.0
S00135655,62.0,6.0,7.0,42.0,7.0
S00135656,55.0,4.0,11.0,36.0,4.0
S00135657,44.0,6.0,11.0,25.0,2.0
S00135658,44.0,5.0,6.0,33.0,4.0
S00135659,75.0,3.0,23.0,43.0,6.0
S00135660,62.0,8.0,19.0,34.0,5.0
S00135661,31.0,1.0,9.0,19.0,2.0
S00135662,76.0,6.0,13.0,55.0,5.0
S00135663,45.0,3.0,8.0,23.0,8.0
S00135664,94.0,11.0,21.0,51.0,8.0
S00135665,29.0,5.0,5.0,19.0,2.0
S00135666,30.0,3.0,8.0,17.0,1.0
S00135667,71.0,5.0,18.0,41.0,7.0
S00135668,60.0,8.0,11.0,37.0,7.0
S00135669,70.0,9.0,14.0,40.0,7.0
S00135670,92.0,7.0,22.0,55.0,8.0
S00135671,34.0,2.0,9.0,24.0,7.0
S00135672,60.0,0.0,14.0,36.0,9.0
S00135673,30.0,4.0,10.0,14.0,2.0
S00135674,53.0,3.0,10.0,34.0,6.0
S00135675,62.0,7.0,11.0,43.0,1.0
S00135676,41.0,4.0,7.0,22.0,5.0
S00135677,32.0,1.0,7.0,22.0,1.0
S00135678,61.0,3.0,13.0,43.0,2.0
S00135679,47.0,6.0,12.0,24.0,5.0
S00135680,54.0,4.0,11.0,32.0,9.0
S00135681,71.0,3.0,18.0,41.0,7.0
S00135682,45.0,3.0,7.0,31.0,4.0
S00135683,42.0,0.0,7.0,26.0,4.0
S00135684,33.0,1.0,9.0,22.0,4.0
S00135685,72.0,4.0,17.0,48.0,3.0
S00135686,16.0,2.0,3.0,11.0,1.0
S00135687,73.0,6.0,14.0,42.0,11.0
S00135688,46.0,2.0,6.0,34.0,4.0
S00135689,49.0,6.0,7.0,28.0,7.0
S00135690,58.0,7.0,9.0,37.0,4.0
S00135691,67.0,10.0,10.0,42.0,4.0
S00135692,40.0,4.0,10.0,25.0,3.0
S00135693,65.0,4.0,19.0,38.0,2.0
S00135694,43.0,4.0,9.0,26.0,5.0
S00135695,41.0,2.0,8.0,30.0,0.0
S00135696,40.0,3.0,6.0,27.0,4.0
S00135697,72.0,4.0,23.0,35.0,10.0
S00135698,70.0,5.0,15.0,47.0,4.0
S00135699,88.0,4.0,29.0,48.0,8.0
S00135700,32.0,3.0,8.0,17.0,4.0
S00135701,39.0,1.0,4.0,30.0,6.0
S00135702,46.0,4.0,10.0,29.0,3.0
S00135703,34.0,4.0,9.0,17.0,4.0
S00135704,22.0,4.0,2.0,17.0,5.0
S00135705,47.0,1.0,6.0,29.0,5.0
S00135706,62.0,12.0,15.0,35.0,0.0
S00135707,34.0,4.0,5.0,21.0,3.0
S00135708,53.0,4.0,13.0,30.0,6.0
S00135709,44.0,3.0,14.0,25.0,3.0
S00135710,27.0,3.0,3.0,21.0,0.0
S00135711,48.0,9.0,8.0,27.0,3.0
S00135712,64.0,8.0,17.0,42.0,2.0
S00135713,43.0,7.0,7.0,26.0,3.0
S00135714,73.0,9.0,17.0,38.0,9.0
S00135715,58.0,3.0,15.0,33.0,8.0
S00135716,56.0,4.0,14.0,38.0,2.0
S00135717,56.0,0.0,8.0,42.0,6.0
S00135718,40.0,5.0,8.0,23.0,4.0
