OA,UV1040001,UV1040002,UV1040003,UV1040004,UV1040005,UV1040006
S00135491,112,47.0,48.0,10.0,6.0,0.0
S00135492,111,17.0,69.0,2.0,11.0,9.0
S00135493,127,73.0,39.0,4.0,7.0,4.0
S00135494,87,20.0,57.0,0.0,3.0,7.0
S00135495,82,26.0,46.0,0.0,6.0,4.0
S00135496,87,11.0,62.0,0.0,2.0,8.0
S00135497,185,31.0,137.0,2.0,5.0,10.0
S00135498,117,69.0,31.0,5.0,10.0,2.0
S00135499,110,31.0,61.0,1.0,4.0,9.0
S00135500,82,37.0,43.0,0.0,2.0,0.0
S00135501,121,16.0,80.0,2.0,12.0,9.0
S00135502,114,65.0,38.0,5.0,5.0,0.0
S00135503,77,14.0,45.0,0.0,6.0,12.0
S00135504,137,28.0,86.0,2.0,6.0,14.0
S00135505,122,44.0,67.0,1.0,6.0,7.0
S00135506,74,24.0,40.0,1.0,11.0,4.0
S00135507,132,31.0,88.0,5.0,4.0,5.0
S00135508,61,22.0,20.0,0.0,12.0,1.0
S00135509,102,25.0,67.0,0.0,4.0,6.0
S00135510,100,33.0,45.0,3.0,12.0,4.0
S00135511,116,65.0,31.0,2.0,13.0,3.0
S00135512,110,30.0,62.0,4.0,10.0,4.0
S00135513,97,37.0,36.0,3.0,13.0,12.0
S00135514,96,45.0,29.0,4.0,13.0,8.0
S00135515,143,38.0,66.0,2.0,10.0,30.0
S00135516,108,69.0,24.0,2.0,11.0,1.0
S00135517,101,47.0,37.0,4.0,9.0,3.0
S00135518,76,26.0,35.0,1.0,5.0,6.0
S00135519,129,34.0,85.0,2.0,6.0,2.0
S00135520,129,53.0,55.0,3.0,14.0,4.0
S00135521,104,64.0,21.0,2.0,13.0,6.0
S00135522,85,32.0,40.0,0.0,5.0,2.0
S00135523,65,16.0,35.0,0.0,3.0,12.0
S00135524,104,30.0,48.0,3.0,13.0,14.0
S00135525,87,29.0,54.0,0.0,3.0,1.0
S00135526,96,43.0,36.0,0.0,14.0,7.0
S00135527,58,14.0,18.0,6.0,7.0,9.0
S00135528,152,54.0,65.0,1.0,13.0,19.0
S00135529,130,27.0,75.0,2.0,14.0,15.0
