OA,UV1040001,UV1040002,UV1040003,UV1040004,UV1040005,UV1040006
S00161324,99,37.0,49.0,2.0,5.0,6.0
S00161325,87,45.0,31.0,2.0,5.0,4.0
S00161326,117,77.0,25.0,2.0,8.0,3.0
S00161327,69,30.0,31.0,0.0,2.0,4.0
S00161328,120,90.0,15.0,3.0,8.0,6.0
S00161329,62,33.0,18.0,4.0,8.0,7.0
S00161330,141,61.0,59.0,2.0,7.0,12.0
S00161331,125,80.0,31.0,3.0,6.0,1.0
S00161332,103,62.0,28.0,1.0,5.0,5.0
S00161333,71,44.0,20.0,0.0,5.0,5.0
S00161334,93,37.0,42.0,3.0,4.0,4.0
S00161335,73,58.0,6.0,2.0,8.0,1.0
S00161336,130,51.0,62.0,3.0,7.0,13.0
S00161337,73,54.0,14.0,1.0,7.0,1.0
S00161338,76,33.0,33.0,0.0,5.0,6.0
S00161339,67,38.0,6.0,0.0,10.0,9.0
S00161340,71,38.0,8.0,3.0,12.0,7.0
S00161341,62,46.0,14.0,0.0,2.0,1.0
S00161342,112,81.0,22.0,5.0,8.0,3.0
S00161343,72,29.0,25.0,0.0,14.0,3.0
S00161344,97,62.0,26.0,4.0,5.0,2.0
S00161345,90,30.0,45.0,4.0,7.0,5.0
S00161346,74,65.0,4.0,0.0,3.0,2.0
S00161347,162,83.0,59.0,5.0,11.0,2.0
S00161348,91,60.0,23.0,2.0,2.0,4.0
S00161349,98,70.0,22.0,0.0,5.0,1.0
S00161350,68,58.0,8.0,0.0,3.0,2.0
S00161351,63,33.0,7.0,4.0,10.0,8.0
S00161352,115,64.0,28.0,10.0,12.0,6.0
S00161353,98,55.0,22.0,1.0,14.0,6.0
S00161354,64,26.0,16.0,2.0,13.0,4.0
S00161355,58,24.0,22.0,1.0,5.0,6.0
S00161356,158,84.0,47.0,5.0,9.0,8.0
S00161357,132,70.0,26.0,3.0,18.0,15.0
S00161358,68,50.0,7.0,1.0,8.0,2.0
S00161359,69,46.0,13.0,1.0,7.0,3.0
S00161360,62,45.0,16.0,3.0,1.0,0.0
S00161361,102,58.0,23.0,7.0,8.0,4.0
S00161362,120,51.0,58.0,0.0,9.0,4.0
S00161363,135,73.0,49.0,5.0,1.0,4.0
S00161364,131,104.0,20.0,0.0,7.0,0.0
S00161365,119,65.0,45.0,1.0,7.0,1.0
S00161366,64,52.0,9.0,1.0,4.0,0.0
S00161367,71,48.0,18.0,2.0,2.0,2.0
S00161368,90,38.0,40.0,5.0,6.0,7.0
S00161369,127,56.0,57.0,6.0,5.0,7.0
S00161370,60,45.0,4.0,4.0,7.0,1.0
S00161371,135,60.0,44.0,2.0,12.0,13.0
S00161372,97,31.0,66.0,1.0,5.0,1.0
S00161373,96,71.0,18.0,0.0,5.0,2.0
S00161374,88,25.0,51.0,2.0,1.0,10.0
S00161375,84,34.0,32.0,4.0,10.0,1.0
S00161376,120,94.0,18.0,1.0,6.0,2.0
S00161377,99,54.0,24.0,8.0,6.0,6.0
S00161378,81,61.0,19.0,1.0,6.0,0.0
S00161379,105,64.0,27.0,5.0,6.0,4.0
S00161380,56,33.0,17.0,0.0,2.0,1.0
S00161381,122,68.0,29.0,5.0,7.0,10.0
S00161382,80,25.0,45.0,0.0,5.0,4.0
S00161383,109,28.0,67.0,1.0,4.0,6.0
S00161384,85,61.0,16.0,3.0,4.0,2.0
S00161385,123,79.0,19.0,6.0,12.0,4.0
S00161386,66,59.0,3.0,3.0,0.0,1.0
S00161387,140,49.0,70.0,6.0,8.0,10.0
S00161388,69,56.0,14.0,2.0,1.0,0.0
S00161389,126,70.0,35.0,1.0,9.0,5.0
S00161390,51,27.0,14.0,6.0,4.0,0.0
S00161391,122,39.0,68.0,1.0,7.0,7.0
S00161392,92,16.0,38.0,0.0,13.0,24.0
S00161393,73,19.0,46.0,0.0,1.0,7.0
S00161394,128,22.0,93.0,1.0,7.0,9.0
S00161395,67,53.0,8.0,2.0,2.0,2.0
S00161396,87,30.0,50.0,1.0,3.0,5.0
S00161397,68,31.0,25.0,2.0,7.0,2.0
S00161398,74,46.0,7.0,2.0,12.0,5.0
S00161399,49,23.0,22.0,2.0,3.0,0.0
S00161400,114,38.0,63.0,2.0,10.0,7.0
S00161401,80,66.0,8.0,1.0,7.0,0.0
S00161402,112,43.0,48.0,5.0,8.0,10.0
S00161403,80,51.0,15.0,1.0,9.0,10.0
S00161404,135,41.0,72.0,1.0,4.0,16.0
S00161405,60,37.0,10.0,3.0,6.0,4.0
S00161406,144,56.0,84.0,1.0,3.0,0.0
S00161407,138,69.0,57.0,2.0,4.0,6.0
S00161408,103,56.0,25.0,6.0,14.0,0.0
S00161409,74,31.0,19.0,5.0,12.0,3.0
S00161410,86,45.0,32.0,0.0,5.0,4.0
S00161411,158,78.0,52.0,5.0,8.0,15.0
S00161412,64,33.0,16.0,3.0,6.0,6.0
S00161413,81,50.0,19.0,0.0,9.0,1.0
S00161414,94,35.0,52.0,2.0,5.0,2.0
S00161415,84,55.0,13.0,4.0,10.0,1.0
S00161416,95,19.0,65.0,2.0,0.0,6.0
S00161417,82,38.0,35.0,1.0,3.0,5.0
S00161418,100,43.0,30.0,3.0,12.0,10.0
S00161419,96,33.0,55.0,1.0,3.0,1.0
S00161420,141,41.0,89.0,0.0,5.0,7.0
S00161421,95,61.0,25.0,2.0,6.0,1.0
S00161422,79,44.0,20.0,4.0,6.0,6.0
S00161423,74,52.0,6.0,5.0,11.0,0.0
S00161424,119,64.0,49.0,4.0,3.0,1.0
S00161425,62,37.0,13.0,5.0,1.0,10.0
S00161426,89,36.0,44.0,2.0,6.0,1.0
S00161427,135,71.0,36.0,2.0,19.0,7.0
S00161428,86,18.0,56.0,0.0,4.0,0.0
S00161429,99,29.0,56.0,3.0,5.0,7.0
S00161430,165,56.0,96.0,4.0,9.0,3.0
S00161431,86,71.0,5.0,0.0,5.0,5.0
S00161432,83,49.0,23.0,4.0,7.0,0.0
S00161433,111,42.0,59.0,0.0,5.0,5.0
S00161434,124,41.0,62.0,6.0,7.0,9.0
S00161435,63,14.0,44.0,1.0,4.0,4.0
S00161436,113,34.0,63.0,0.0,8.0,8.0
S00161437,93,67.0,13.0,5.0,2.0,2.0
S00161438,62,25.0,25.0,0.0,4.0,8.0
S00161439,89,28.0,47.0,1.0,6.0,7.0
S00161440,63,17.0,41.0,0.0,2.0,2.0
S00161441,86,40.0,30.0,4.0,7.0,5.0
S00161442,114,34.0,74.0,0.0,3.0,5.0
S00161443,77,31.0,30.0,5.0,8.0,3.0
S00161444,187,72.0,95.0,4.0,8.0,3.0
S00161445,103,26.0,64.0,0.0,7.0,6.0
S00161446,90,59.0,15.0,3.0,11.0,1.0
S00161447,81,18.0,52.0,4.0,6.0,5.0
S00161448,71,36.0,3.0,6.0,17.0,10.0
S00161449,75,45.0,11.0,4.0,9.0,6.0
S00161450,89,42.0,20.0,8.0,14.0,3.0
S00161451,96,28.0,53.0,2.0,5.0,4.0
S00161452,102,24.0,68.0,3.0,1.0,6.0
S00161453,91,46.0,28.0,2.0,2.0,8.0
S00161454,113,63.0,23.0,6.0,12.0,12.0
S00161455,137,60.0,58.0,1.0,9.0,6.0
S00161456,84,47.0,16.0,3.0,8.0,8.0
S00161457,94,17.0,66.0,1.0,7.0,4.0
S00161458,112,54.0,41.0,3.0,14.0,2.0
S00161459,141,33.0,95.0,1.0,3.0,8.0
S00161460,75,25.0,31.0,1.0,5.0,11.0
S00161461,90,44.0,29.0,3.0,8.0,4.0
S00161462,69,21.0,6.0,3.0,19.0,17.0
S00161463,117,56.0,36.0,2.0,11.0,14.0
S00161464,90,39.0,37.0,0.0,10.0,4.0
S00161465,143,83.0,27.0,2.0,19.0,15.0
S00161466,72,54.0,6.0,1.0,9.0,3.0
S00161467,98,46.0,21.0,4.0,12.0,16.0
S00161468,54,43.0,6.0,0.0,4.0,1.0
S00161469,73,65.0,5.0,0.0,8.0,1.0
S00161470,128,43.0,65.0,2.0,5.0,9.0
S00161471,78,23.0,44.0,2.0,2.0,8.0
S00161472,83,36.0,39.0,0.0,2.0,2.0
S00161473,97,33.0,58.0,0.0,3.0,3.0
S00161474,63,32.0,27.0,6.0,3.0,1.0
S00161475,129,48.0,58.0,7.0,8.0,6.0
S00161476,102,89.0,4.0,1.0,6.0,2.0
S00161477,197,67.0,51.0,3.0,18.0,58.0
S00161478,61,23.0,22.0,3.0,9.0,3.0
S00161479,57,20.0,26.0,2.0,4.0,3.0
S00161480,114,32.0,74.0,2.0,4.0,6.0
S00161481,70,20.0,36.0,0.0,3.0,9.0
S00161482,98,43.0,34.0,6.0,7.0,8.0
S00161483,100,28.0,68.0,2.0,4.0,4.0
S00161484,97,17.0,67.0,0.0,8.0,6.0
S00161485,93,23.0,57.0,2.0,5.0,6.0
S00161486,131,76.0,32.0,4.0,10.0,3.0
S00161487,151,67.0,59.0,4.0,16.0,6.0
S00161488,113,33.0,72.0,4.0,2.0,3.0
S00161489,98,62.0,27.0,4.0,5.0,0.0
S00161490,106,51.0,31.0,2.0,14.0,8.0
S00161491,84,23.0,35.0,2.0,14.0,14.0
S00161492,138,23.0,95.0,2.0,6.0,13.0
S00161493,99,29.0,61.0,0.0,7.0,4.0
S00161494,147,54.0,67.0,4.0,16.0,6.0
S00161495,110,73.0,23.0,5.0,9.0,1.0
S00161496,85,64.0,10.0,3.0,3.0,2.0
S00161497,53,37.0,16.0,0.0,5.0,1.0
S00161498,117,65.0,38.0,3.0,6.0,5.0
S00161499,67,25.0,25.0,3.0,5.0,10.0
S00161500,59,35.0,15.0,2.0,3.0,6.0
S00161501,85,25.0,50.0,1.0,4.0,6.0
S00161502,67,33.0,22.0,0.0,8.0,6.0
S00161503,168,45.0,101.0,1.0,11.0,10.0
S00161504,65,42.0,7.0,2.0,12.0,1.0
S00161505,93,63.0,11.0,2.0,15.0,1.0
S00161506,80,70.0,2.0,0.0,6.0,2.0
S00161507,138,40.0,82.0,4.0,8.0,4.0
S00161508,145,35.0,104.0,3.0,3.0,4.0
S00161509,55,29.0,15.0,4.0,5.0,2.0
S00161510,100,44.0,33.0,2.0,7.0,14.0
S00161511,84,54.0,15.0,2.0,12.0,3.0
S00161512,129,47.0,70.0,6.0,4.0,4.0
S00161513,69,42.0,18.0,1.0,5.0,3.0
S00161514,130,62.0,47.0,10.0,9.0,6.0
S00161515,157,63.0,72.0,4.0,8.0,8.0
S00161516,97,45.0,35.0,4.0,9.0,3.0
S00161517,134,41.0,82.0,1.0,4.0,2.0
S00161518,94,61.0,22.0,0.0,6.0,4.0
S00161519,57,44.0,4.0,1.0,10.0,0.0
S00161520,114,52.0,46.0,2.0,9.0,2.0
S00161521,116,48.0,34.0,4.0,17.0,10.0
S00161522,82,36.0,33.0,1.0,8.0,4.0
S00161523,61,33.0,11.0,5.0,9.0,3.0
S00161524,94,51.0,19.0,5.0,12.0,7.0
S00161525,83,39.0,31.0,4.0,7.0,1.0
S00161526,110,24.0,71.0,2.0,5.0,9.0
S00161527,126,57.0,37.0,8.0,9.0,15.0
S00161528,93,43.0,35.0,7.0,9.0,0.0
S00161529,81,44.0,26.0,3.0,7.0,5.0
S00161530,122,71.0,30.0,2.0,17.0,7.0
S00161531,116,25.0,83.0,1.0,0.0,6.0
S00161532,118,50.0,54.0,3.0,12.0,2.0
S00161533,56,33.0,10.0,1.0,10.0,4.0
S00161534,93,49.0,23.0,0.0,11.0,10.0
S00161535,115,38.0,60.0,3.0,6.0,11.0
S00161536,87,49.0,24.0,3.0,6.0,5.0
S00161537,59,34.0,14.0,0.0,7.0,5.0
S00161538,103,42.0,34.0,8.0,7.0,8.0
S00161539,99,18.0,63.0,2.0,0.0,13.0
S00161540,61,27.0,22.0,0.0,3.0,9.0
S00161541,67,36.0,14.0,0.0,10.0,4.0
S00161542,120,58.0,35.0,2.0,9.0,17.0
S00161543,114,73.0,23.0,5.0,13.0,3.0
S00161544,97,54.0,27.0,3.0,5.0,8.0
S00161545,85,46.0,13.0,7.0,12.0,10.0
S00161546,99,49.0,38.0,4.0,2.0,2.0
S00161547,114,53.0,33.0,0.0,13.0,9.0
S00161548,128,54.0,52.0,2.0,11.0,8.0
S00161549,104,24.0,67.0,2.0,6.0,8.0
S00161550,58,18.0,28.0,4.0,3.0,5.0
S00161551,91,75.0,4.0,1.0,10.0,0.0
S00161552,81,56.0,20.0,0.0,6.0,2.0
S00161553,111,45.0,44.0,4.0,11.0,7.0
S00161554,97,50.0,28.0,1.0,6.0,4.0
S00161555,83,51.0,20.0,1.0,10.0,2.0
S00161556,61,42.0,8.0,3.0,4.0,1.0
S00161557,128,51.0,59.0,8.0,4.0,8.0
S00161558,77,35.0,24.0,3.0,11.0,4.0
S00161559,141,54.0,71.0,3.0,10.0,7.0
S00161560,109,39.0,63.0,1.0,5.0,3.0
S00161561,98,50.0,16.0,7.0,19.0,9.0
S00161562,76,57.0,10.0,2.0,9.0,0.0
S00161563,312,119.0,117.0,6.0,18.0,45.0
S00161564,123,76.0,28.0,2.0,14.0,3.0
S00161565,75,26.0,30.0,2.0,5.0,12.0
S00161566,90,45.0,32.0,3.0,6.0,3.0
S00161567,86,52.0,18.0,6.0,5.0,1.0
S00161568,138,33.0,86.0,1.0,10.0,8.0
S00161569,56,24.0,13.0,3.0,8.0,9.0
S00161570,65,33.0,17.0,6.0,5.0,4.0
S00161571,104,70.0,28.0,5.0,4.0,1.0
S00161572,65,42.0,13.0,1.0,5.0,2.0
S00161573,108,61.0,27.0,1.0,9.0,7.0
S00161574,74,26.0,32.0,3.0,7.0,6.0
S00161575,112,48.0,47.0,3.0,11.0,2.0
S00161576,107,32.0,69.0,3.0,1.0,3.0
S00161577,70,27.0,20.0,3.0,15.0,5.0
S00161578,120,48.0,53.0,5.0,10.0,4.0
S00161579,98,57.0,21.0,2.0,12.0,6.0
S00161580,106,43.0,47.0,1.0,10.0,4.0
S00161581,66,35.0,20.0,2.0,6.0,5.0
S00161582,86,41.0,27.0,2.0,9.0,9.0
S00161583,89,55.0,21.0,4.0,8.0,1.0
S00161584,122,66.0,45.0,4.0,7.0,0.0
S00161585,69,30.0,18.0,5.0,10.0,6.0
S00161586,79,44.0,13.0,4.0,7.0,8.0
S00161587,60,30.0,12.0,4.0,10.0,4.0
S00161588,50,30.0,15.0,3.0,1.0,0.0
S00161589,98,47.0,26.0,4.0,12.0,14.0
S00161590,157,60.0,60.0,10.0,11.0,16.0
S00161591,71,17.0,16.0,7.0,15.0,14.0
S00161592,99,44.0,36.0,7.0,7.0,6.0
S00161593,132,61.0,52.0,4.0,10.0,5.0
S00161594,132,37.0,79.0,2.0,4.0,7.0
S00161595,170,61.0,89.0,5.0,8.0,8.0
S00161596,146,67.0,64.0,5.0,8.0,6.0
S00161597,79,28.0,41.0,0.0,2.0,3.0
S00161598,83,54.0,23.0,4.0,4.0,3.0
S00161599,92,53.0,9.0,5.0,18.0,7.0
S00161600,187,76.0,100.0,2.0,5.0,4.0
S00161601,137,36.0,89.0,1.0,10.0,4.0
S00161602,91,48.0,24.0,5.0,5.0,5.0
S00161603,138,55.0,62.0,2.0,10.0,17.0
S00161604,78,29.0,44.0,2.0,2.0,1.0
S00161605,109,51.0,40.0,7.0,8.0,5.0
S00161606,90,51.0,26.0,3.0,7.0,4.0
S00161607,107,55.0,34.0,4.0,8.0,4.0
S00161608,146,78.0,56.0,4.0,5.0,2.0
S00161609,79,43.0,26.0,3.0,6.0,1.0
S00161610,110,51.0,41.0,3.0,7.0,8.0
S00161611,79,20.0,54.0,1.0,2.0,4.0
S00161612,161,48.0,97.0,6.0,6.0,6.0
S00161613,85,14.0,67.0,0.0,0.0,0.0
S00161614,114,33.0,68.0,0.0,3.0,8.0
S00161615,88,52.0,16.0,7.0,6.0,6.0
S00161616,91,42.0,30.0,3.0,6.0,7.0
S00161617,93,24.0,61.0,2.0,4.0,2.0
S00161618,61,27.0,21.0,3.0,4.0,9.0
S00161619,87,28.0,48.0,0.0,3.0,8.0
S00161620,153,43.0,98.0,0.0,8.0,2.0
S00161621,125,40.0,81.0,0.0,0.0,2.0
S00161622,94,29.0,61.0,1.0,3.0,4.0
S00161623,108,46.0,53.0,2.0,10.0,4.0
S00161624,53,18.0,28.0,0.0,1.0,6.0
S00161625,124,41.0,38.0,7.0,18.0,20.0
S00161626,104,42.0,40.0,3.0,12.0,10.0
S00161627,98,48.0,37.0,2.0,8.0,5.0
S00161628,78,34.0,41.0,0.0,2.0,1.0
S00161629,140,80.0,36.0,5.0,11.0,10.0
S00161630,69,34.0,25.0,1.0,7.0,5.0
S00161631,54,15.0,28.0,1.0,1.0,8.0
S00161632,69,38.0,12.0,5.0,10.0,6.0
S00161633,54,22.0,10.0,2.0,12.0,10.0
S00161634,96,63.0,15.0,0.0,10.0,3.0
S00161635,109,32.0,45.0,1.0,9.0,20.0
S00161636,76,31.0,30.0,2.0,9.0,4.0
S00161637,121,72.0,23.0,6.0,10.0,10.0
S00161638,110,31.0,73.0,1.0,4.0,1.0
S00161639,90,18.0,52.0,2.0,5.0,12.0
S00161640,91,43.0,33.0,2.0,8.0,5.0
S00161641,109,62.0,30.0,1.0,14.0,0.0
S00161642,51,21.0,17.0,0.0,4.0,6.0
S00161643,174,56.0,95.0,8.0,11.0,6.0
S00161644,121,70.0,22.0,2.0,19.0,7.0
S00161645,83,23.0,51.0,1.0,6.0,1.0
S00161646,99,54.0,32.0,2.0,7.0,2.0
S00161647,60,32.0,15.0,1.0,7.0,5.0
S00161648,108,42.0,59.0,1.0,2.0,4.0
S00161649,110,44.0,42.0,8.0,10.0,4.0
S00161650,151,63.0,59.0,1.0,15.0,13.0
S00161651,58,42.0,6.0,2.0,7.0,0.0
S00161652,98,36.0,50.0,0.0,6.0,8.0
S00161653,66,31.0,21.0,0.0,9.0,2.0
S00161654,123,62.0,39.0,3.0,13.0,9.0
S00161655,91,61.0,16.0,6.0,4.0,7.0
S00161656,90,43.0,38.0,3.0,5.0,3.0
S00161657,123,59.0,36.0,6.0,17.0,5.0
S00161658,81,37.0,12.0,5.0,14.0,13.0
S00161659,83,40.0,30.0,3.0,5.0,3.0
S00161660,146,73.0,59.0,3.0,8.0,6.0
S00161661,69,37.0,18.0,0.0,7.0,7.0
S00161662,71,29.0,27.0,3.0,5.0,7.0
S00161663,54,37.0,9.0,3.0,4.0,1.0
S00161664,77,25.0,40.0,0.0,2.0,9.0
S00161665,98,29.0,64.0,0.0,5.0,3.0
S00161666,75,30.0,36.0,0.0,4.0,4.0
S00161667,82,44.0,18.0,3.0,13.0,4.0
S00161668,103,52.0,41.0,0.0,4.0,5.0
S00161669,148,54.0,70.0,7.0,6.0,8.0
S00161670,60,19.0,30.0,5.0,5.0,1.0
S00161671,67,31.0,18.0,3.0,13.0,4.0
S00161672,134,24.0,82.0,0.0,9.0,16.0
S00161673,126,42.0,65.0,2.0,10.0,10.0
S00161674,119,63.0,36.0,1.0,16.0,4.0
S00161675,83,39.0,30.0,1.0,8.0,3.0
S00161676,73,33.0,28.0,1.0,11.0,0.0
S00161677,77,28.0,20.0,7.0,10.0,12.0
S00161678,99,14.0,58.0,1.0,8.0,16.0
S00161679,95,30.0,54.0,0.0,7.0,4.0
S00161680,60,30.0,16.0,4.0,5.0,8.0
S00161681,73,43.0,24.0,0.0,3.0,3.0
S00161682,73,35.0,19.0,0.0,8.0,11.0
S00161683,163,42.0,106.0,3.0,8.0,2.0
S00161684,94,36.0,47.0,2.0,5.0,7.0
S00161685,122,43.0,54.0,5.0,7.0,13.0
S00161686,86,18.0,55.0,0.0,3.0,8.0
S00161687,95,29.0,51.0,2.0,6.0,6.0
S00161688,93,59.0,13.0,2.0,15.0,7.0
S00161689,160,51.0,91.0,3.0,6.0,11.0
S00161690,108,42.0,46.0,2.0,7.0,11.0
S00161691,167,64.0,50.0,3.0,20.0,35.0
S00161692,122,40.0,64.0,6.0,2.0,10.0
S00161693,154,38.0,97.0,1.0,7.0,8.0
S00161694,64,43.0,11.0,0.0,2.0,7.0
S00161695,60,25.0,28.0,1.0,1.0,5.0
S00161696,99,46.0,33.0,5.0,2.0,13.0
S00161697,63,34.0,19.0,4.0,4.0,0.0
S00161698,98,47.0,30.0,3.0,13.0,5.0
S00161699,87,63.0,17.0,4.0,4.0,0.0
S00161700,148,61.0,65.0,4.0,11.0,7.0
S00161701,91,47.0,21.0,1.0,10.0,6.0
S00161702,75,23.0,38.0,4.0,5.0,5.0
S00161703,59,14.0,29.0,1.0,10.0,4.0
S00161704,101,28.0,61.0,0.0,5.0,7.0
S00161705,90,29.0,49.0,1.0,8.0,3.0
S00161706,85,41.0,34.0,5.0,2.0,4.0
S00161707,111,49.0,38.0,6.0,8.0,10.0
S00161708,89,43.0,29.0,0.0,13.0,3.0
S00161709,77,18.0,29.0,6.0,9.0,10.0
S00161710,68,45.0,16.0,0.0,8.0,4.0
S00161711,101,40.0,42.0,9.0,5.0,5.0
S00161712,95,28.0,58.0,1.0,1.0,4.0
S00161713,88,34.0,30.0,5.0,10.0,9.0
S00161714,103,60.0,24.0,2.0,5.0,9.0
S00161715,115,31.0,72.0,0.0,4.0,9.0
S00161716,82,39.0,21.0,3.0,10.0,9.0
S00161717,104,31.0,55.0,2.0,5.0,13.0
S00161718,78,42.0,30.0,1.0,0.0,0.0
S00161719,121,54.0,43.0,3.0,9.0,11.0
S00161720,106,39.0,56.0,0.0,6.0,5.0
S00161721,140,58.0,75.0,5.0,1.0,1.0
S00161722,80,38.0,31.0,1.0,5.0,5.0
S00161723,58,36.0,7.0,1.0,11.0,3.0
S00161724,73,25.0,41.0,1.0,0.0,6.0
S00161725,99,55.0,33.0,3.0,4.0,5.0
S00161726,135,55.0,66.0,4.0,8.0,2.0
S00161727,104,44.0,42.0,1.0,9.0,8.0
S00161728,147,53.0,69.0,6.0,13.0,6.0
S00161729,123,48.0,42.0,3.0,8.0,15.0
S00161730,93,36.0,51.0,2.0,3.0,4.0
S00161731,154,43.0,87.0,3.0,4.0,18.0
S00161732,108,28.0,70.0,1.0,0.0,6.0
S00161733,167,49.0,57.0,2.0,10.0,47.0
S00161734,145,38.0,95.0,2.0,3.0,6.0
S00161735,108,44.0,44.0,5.0,11.0,4.0
S00161736,84,51.0,21.0,5.0,10.0,0.0
S00161737,113,54.0,38.0,5.0,11.0,5.0
S00161738,81,39.0,28.0,4.0,8.0,5.0
S00161739,119,39.0,74.0,0.0,5.0,1.0
S00161740,55,33.0,12.0,2.0,6.0,2.0
S00161741,119,22.0,58.0,1.0,10.0,25.0
S00161742,97,18.0,65.0,2.0,7.0,5.0
S00161743,100,28.0,64.0,0.0,4.0,4.0
S00161744,77,29.0,23.0,2.0,16.0,4.0
S00161745,93,37.0,37.0,0.0,8.0,11.0
S00161746,116,49.0,53.0,2.0,7.0,4.0
S00161747,59,44.0,10.0,2.0,5.0,0.0
S00161748,85,37.0,35.0,0.0,9.0,3.0
S00161749,69,41.0,12.0,4.0,8.0,4.0
S00161750,102,29.0,55.0,2.0,9.0,7.0
S00161751,64,25.0,28.0,1.0,5.0,6.0
S00161752,131,73.0,38.0,6.0,9.0,5.0
S00161753,85,26.0,37.0,0.0,13.0,4.0
S00161754,78,38.0,28.0,1.0,10.0,4.0
S00161755,105,48.0,29.0,6.0,16.0,6.0
S00161756,92,45.0,27.0,3.0,8.0,6.0
S00161757,73,36.0,23.0,1.0,7.0,7.0
S00161758,56,24.0,15.0,3.0,8.0,0.0
S00161759,84,57.0,18.0,0.0,7.0,1.0
S00161760,89,36.0,28.0,4.0,9.0,12.0
S00161761,85,47.0,23.0,1.0,11.0,0.0
S00161762,72,43.0,21.0,2.0,5.0,1.0
S00161763,96,38.0,37.0,4.0,7.0,7.0
S00161764,84,48.0,17.0,9.0,10.0,0.0
S00161765,70,30.0,24.0,4.0,7.0,6.0
S00161766,65,28.0,23.0,2.0,3.0,4.0
S00161767,98,22.0,65.0,0.0,4.0,4.0
S00161768,66,21.0,26.0,4.0,6.0,9.0
S00161769,90,48.0,18.0,5.0,16.0,1.0
S00161770,139,46.0,70.0,1.0,8.0,12.0
S00161771,56,30.0,14.0,2.0,7.0,5.0
S00161772,70,41.0,13.0,2.0,7.0,2.0
S00161773,144,45.0,77.0,2.0,4.0,15.0
S00161774,135,40.0,72.0,7.0,5.0,7.0
S00161775,135,50.0,73.0,7.0,3.0,4.0
S00161776,75,36.0,27.0,2.0,2.0,6.0
S00161777,100,33.0,38.0,3.0,12.0,12.0
S00161778,73,21.0,36.0,0.0,10.0,6.0
S00161779,91,65.0,5.0,9.0,12.0,2.0
S00161780,81,57.0,11.0,1.0,8.0,5.0
S00161781,118,52.0,44.0,5.0,9.0,8.0
S00161782,119,66.0,23.0,5.0,15.0,11.0
S00161783,73,44.0,10.0,1.0,7.0,7.0
S00161784,122,39.0,71.0,0.0,6.0,9.0
S00161785,72,43.0,14.0,3.0,9.0,4.0
S00161786,80,54.0,11.0,5.0,8.0,4.0
S00161787,77,26.0,36.0,1.0,8.0,5.0
S00161788,78,31.0,32.0,2.0,6.0,7.0
S00161789,110,60.0,17.0,1.0,16.0,14.0
S00161790,67,32.0,27.0,0.0,5.0,3.0
S00161791,87,38.0,36.0,4.0,5.0,6.0
S00161792,158,44.0,92.0,0.0,10.0,8.0
S00161793,106,64.0,24.0,8.0,8.0,1.0
S00161794,72,32.0,25.0,2.0,8.0,4.0
S00161795,76,32.0,32.0,3.0,2.0,9.0
S00161796,148,74.0,46.0,5.0,17.0,6.0
S00161797,68,36.0,20.0,2.0,6.0,2.0
S00161798,74,40.0,24.0,3.0,5.0,2.0
S00161799,49,24.0,16.0,2.0,4.0,4.0
S00161800,157,46.0,91.0,4.0,5.0,11.0
S00161801,87,30.0,39.0,1.0,7.0,8.0
S00161802,83,66.0,3.0,1.0,8.0,4.0
S00161803,92,52.0,24.0,1.0,9.0,2.0
S00161804,68,38.0,25.0,2.0,3.0,2.0
S00161805,59,38.0,8.0,0.0,10.0,2.0
S00161806,99,30.0,61.0,2.0,4.0,7.0
S00161807,113,62.0,34.0,2.0,7.0,5.0
S00161808,68,16.0,12.0,0.0,3.0,38.0
S00161809,74,35.0,18.0,5.0,9.0,7.0
S00161810,76,35.0,28.0,3.0,1.0,4.0
S00161811,81,28.0,42.0,2.0,2.0,7.0
S00161812,111,37.0,68.0,3.0,3.0,2.0
S00161813,71,27.0,35.0,2.0,7.0,0.0
S00161814,110,59.0,29.0,8.0,11.0,3.0
S00161815,201,54.0,138.0,7.0,4.0,2.0
S00161816,111,55.0,40.0,4.0,2.0,10.0
S00161817,77,35.0,28.0,7.0,4.0,3.0
S00161818,85,40.0,22.0,0.0,18.0,6.0
S00161819,147,62.0,67.0,8.0,7.0,5.0
S00161820,62,33.0,17.0,7.0,6.0,3.0
S00161821,63,39.0,14.0,3.0,9.0,0.0
S00161822,69,41.0,18.0,1.0,8.0,3.0
S00161823,83,42.0,27.0,0.0,8.0,5.0
S00161824,67,25.0,23.0,3.0,12.0,4.0
S00161825,60,27.0,19.0,2.0,5.0,9.0
S00161826,125,26.0,75.0,2.0,6.0,16.0
S00161827,83,35.0,37.0,0.0,10.0,2.0
S00161828,68,26.0,20.0,2.0,8.0,9.0
S00161829,144,60.0,43.0,5.0,26.0,10.0
S00161830,52,34.0,12.0,2.0,4.0,0.0
S00161831,174,70.0,88.0,7.0,8.0,2.0
S00161832,70,40.0,15.0,1.0,10.0,4.0
S00161833,120,54.0,48.0,2.0,12.0,7.0
S00161834,77,26.0,34.0,0.0,3.0,12.0
S00161835,117,45.0,53.0,4.0,5.0,10.0
S00161836,143,71.0,45.0,7.0,17.0,2.0
S00161837,69,29.0,10.0,8.0,19.0,2.0
S00161838,129,59.0,47.0,5.0,10.0,8.0
S00161839,76,37.0,27.0,1.0,8.0,3.0
S00161840,70,38.0,24.0,1.0,1.0,3.0
